Southwest Chief,
"Chicago, IL – Union Station (CHI)",14:25
"Naperville, IL (NPV)",14:58
"Mendota, IL (MDT)",15:49
"Princeton, IL (PCT)",16:11
"Galesburg, IL (GBB)",17:04
"Fort Madison, IA (FMD)",18:05
"La Plata, MO (LAP)",19:19
"Kansas City, MO – Union Station (KCY)",22:17
"Lawrence, KS (LRC)",23:27
"Topeka, KS (TOP)",0:04
"Newton, KS (NEW)",2:20
"Hutchinson, KS (HUT)",2:55
"Dodge City, KS (DDG)",4:54
"Garden City, KS (GCK)",5:45
"Lamar, CO (LMR)",6:13
"La Junta, CO (LAJ)",7:30
"Trinidad, CO (TRI)",8:50
"Raton, NM (RAT)",9:52
"Las Vegas, NM (LSV)",11:37
"Lamy, NM (LMY)",13:23
"Albuquerque, NM (ABQ)",15:34
"Gallup, NM (GLP)",18:14
"Winslow, AZ (WLO)",20:03
"Flagstaff, AZ – Amtrak Station (FLG)",21:15
"Kingman, AZ (KNG)",0:09
"Needles, CA (NDL)",0:14
"Barstow, CA – Harvey House Railroad Depot (BAR)",3:43
"Victorville, CA – Amtrak Station (VRV)",4:22
"San Bernardino, CA (SNB)",5:51
"Riverside, CA (RIV)",6:10
"Fullerton, CA (FUL)",7:09
"Los Angeles, CA – Union Station (LAX)",7:57